tank,treatment,fish_id,growth_mm
tank01,ambient,f01,10.86
tank01,ambient,f02,11.3
tank01,ambient,f03,10.74
tank01,ambient,f04,11.62
tank01,ambient,f05,12.81
tank01,ambient,f06,10.1
tank01,ambient,f07,12.08
tank01,ambient,f08,12.25
tank01,ambient,f09,12.81
tank01,ambient,f10,11.96
tank01,ambient,f11,12.22
tank01,ambient,f12,11.28
tank02,ambient,f01,8.78
tank02,ambient,f02,9.36
tank02,ambient,f03,7.46
tank02,ambient,f04,10.54
tank02,ambient,f05,9.63
tank02,ambient,f06,9.13
tank02,ambient,f07,10.43
tank02,ambient,f08,6.66
tank02,ambient,f09,8.75
tank02,ambient,f10,10.4
tank02,ambient,f11,9.93
tank02,ambient,f12,9.1
tank03,ambient,f01,11.07
tank03,ambient,f02,9.12
tank03,ambient,f03,9.95
tank03,ambient,f04,9.17
tank03,ambient,f05,11.18
tank03,ambient,f06,9.95
tank03,ambient,f07,10.3
tank03,ambient,f08,10.6
tank03,ambient,f09,10.98
tank03,ambient,f10,8.8
tank03,ambient,f11,9.83
tank03,ambient,f12,9.18
tank04,ambient,f01,7.65
tank04,ambient,f02,10.71
tank04,ambient,f03,7.93
tank04,ambient,f04,9.4
tank04,ambient,f05,10.04
tank04,ambient,f06,8.47
tank04,ambient,f07,9.04
tank04,ambient,f08,11.0
tank04,ambient,f09,10.22
tank04,ambient,f10,10.18
tank04,ambient,f11,10.28
tank04,ambient,f12,11.03
tank05,warm,f01,7.33
tank05,warm,f02,8.45
tank05,warm,f03,10.59
tank05,warm,f04,10.07
tank05,warm,f05,8.91
tank05,warm,f06,9.69
tank05,warm,f07,8.36
tank05,warm,f08,10.58
tank05,warm,f09,10.03
tank05,warm,f10,10.38
tank05,warm,f11,9.38
tank05,warm,f12,7.7
tank06,warm,f01,10.08
tank06,warm,f02,11.04
tank06,warm,f03,10.03
tank06,warm,f04,10.74
tank06,warm,f05,11.79
tank06,warm,f06,11.83
tank06,warm,f07,10.37
tank06,warm,f08,11.47
tank06,warm,f09,12.32
tank06,warm,f10,10.24
tank06,warm,f11,10.44
tank06,warm,f12,11.31
tank07,warm,f01,13.71
tank07,warm,f02,13.42
tank07,warm,f03,13.49
tank07,warm,f04,13.92
tank07,warm,f05,15.66
tank07,warm,f06,15.68
tank07,warm,f07,13.94
tank07,warm,f08,13.75
tank07,warm,f09,15.97
tank07,warm,f10,15.66
tank07,warm,f11,13.3
tank07,warm,f12,13.83
tank08,warm,f01,11.29
tank08,warm,f02,12.79
tank08,warm,f03,12.84
tank08,warm,f04,10.91
tank08,warm,f05,11.9
tank08,warm,f06,10.38
tank08,warm,f07,11.46
tank08,warm,f08,11.3
tank08,warm,f09,12.9
tank08,warm,f10,10.66
tank08,warm,f11,10.72
tank08,warm,f12,12.11
